正常蓄水位_m,月份,防破坏线有效蓄水量_m3s月,防破坏线库蓄水量_m3s月,防破坏线水位_m,防洪限制水位_m,加大出力辅助线1_m,加大出力辅助线2_m,加大出力辅助线3_m,正常蓄水位_m_线
100.0,4月,0.0,218.3944499999999,82.35,94.92456103049912,85.49364025762478,88.63728051524956,91.78092077287434,100.0
100.0,5月,0.0,218.3944499999999,82.35,94.92456103049912,85.49364025762478,88.63728051524956,91.78092077287434,100.0
100.0,6月,1.5237931025643547,219.91824310256425,82.42740098047261,94.92456103049912,85.55169099297925,88.67598100548587,91.80027101799249,100.0
100.0,7月,148.05436610105482,366.4488161010547,89.8704127648222,94.92456103049912,91.13394983124144,92.39748689766066,93.66102396407989,100.0
100.0,8月,315.5586462775984,533.9530962775983,94.92456103049912,94.92456103049912,94.92456103049912,94.92456103049912,94.92456103049912,100.0
100.0,9月,354.48924329645433,572.8836932964542,96.08680717985592,,,,,100.0
100.0,10月,446.67794852890665,665.0723985289065,98.83903745309608,,,,,100.0
100.0,11月,485.56555000000014,703.96,100.0,,,,,100.0
100.0,12月,413.5005587736506,631.8950087736505,97.84854934241851,,,,,100.0
100.0,1月,336.8754838625197,555.2699338625196,95.56096052849652,,,,,100.0
100.0,2月,223.64391726890642,442.0383672689063,92.18051012863943,,,,,100.0
100.0,3月,193.54534479777215,411.93979479777204,91.28193798655876,,,,,100.0
